location,time_operation,local_production_opex,local_production_output,transport_opex,transport_output,total_opex,total_output,total_opex_per_unit,transport_to_production_opex_ratio,transport_to_production_output_ratio
AUS,0,404025.9885355542,393.41267,836966.2132512755,27.4208375,1240992.2017868296,420.8335075,2948.8911402494005,2.071565287879056,0.06969993493092126
AUS,1,401841.9885355542,393.41267,825204.1706770356,27.8432375,1227046.1592125897,421.2559075,2912.8283719382375,2.0535538699784808,0.07077361667075949
AUS,2,398820.9885355542,393.41267,841035.3392865204,28.2825335,1239856.3278220745,421.6952035,2940.171758017339,2.1088041087675693,0.07189024568019124
AUS,3,416089.70965045254,402.35105,855482.2411448264,30.090439,1271571.950795279,432.441489,2940.448553481137,2.056004321432264,0.0747865303197295
AUS,4,420593.40658662433,405.43325,910326.6914953693,31.031456000000002,1330920.0980819936,436.464706,3049.318947869278,2.1643865006901404,0.07653900117960233
AUS,5,424927.1035227961,408.51545,922552.9141224681,31.99148,1347480.0176452643,440.50693,3058.93035018828,2.1710851260702784,0.07831155467926611
AUS,6,429220.800458968,411.59765000000004,930082.8576425575,32.971269,1359303.6581015254,444.56891900000005,3057.576902045024,2.166910030101093,0.08010558126364423
AUS,7,436584.4973951398,414.77985,946531.7253627084,34.211615,1383116.2227578482,448.991465,3080.495578591562,2.1680378735620343,0.08248138138822318
AUS,8,526488.1943313116,421.06205,964777.6717320894,42.913339,1491265.866063401,463.975389,3214.1055353765782,1.8324773131094527,0.10191690037133481
AUS,9,529481.8912674835,424.14425,1054586.3826278883,43.957297999999994,1584068.2738953717,468.101548,3384.0269929963397,1.9917326730540303,0.10363761385424887
AUS,10,559330.8698036553,431.98645,1120798.623333491,47.42438,1680129.4931371463,479.41083,3504.5714197510856,2.003820428732872,0.10978210080431922
AUS,11,870702.4954371857,574.907625,1035202.845543218,66.7060725,1905905.3409804036,641.6136975000001,2970.487301637452,1.1889283090011538,0.11602920121297747
AUS,12,963341.7189877701,609.4949750000001,989300.1282715945,74.4744125,1952641.8472593646,683.9693875,2854.867312697331,1.0269462110611176,0.1221903634234228
AUS,13,1055654.7464089878,644.27985,1000302.7041643666,82.27300100000001,2055957.4505733545,726.552851,2829.742458162007,0.9475661503603221,0.1276976161834023
AUT,0,116397.40705596941,31.8088,479463.6081659997,86.5835,595861.0152219691,118.3923,5032.937236813282,4.119194922748157,2.721998314931717
AUT,1,157841.70637829383,65.71300000000001,489039.57829499966,91.86812499999999,646881.2846732935,157.581125,4105.068323844582,3.0982912534088753,1.3980205590978951
